policyID	statecode	county	point_latitude	point_longitude	line	construction	point_granularity
119736	FL	CLAY COUNTY	30102261	-81711777	Residential	Masonry	1
448094	FL	CLAY COUNTY	30063936	-81707664	Residential	Masonry	3
206893	FL	CLAY COUNTY	30089579	-81700455	Residential	Wood	1
333743	FL	CLAY COUNTY	30063236	-81707703	Residential	Wood	3
172534	FL	CLAY COUNTY	30060614	-81702675	Residential	Wood	1
785275	FL	CLAY COUNTY	30063236	-81707703	Residential	Masonry	3
995932	FL	CLAY COUNTY	30102226	-81713882	Commercial	Reinforced Concrete	1
223488	FL	CLAY COUNTY	30102217	-81707146	Residential	Wood	1
433512	FL	CLAY COUNTY	30118774	-81704613	Residential	Wood	1
142071	FL	CLAY COUNTY	30100628	-81703751	Residential	Masonry	1
253816	FL	CLAY COUNTY	3010216	-81719444	Residential	Masonry	1
894922	FL	CLAY COUNTY	30095957	-81695099	Residential	Wood	1
422834	FL	CLAY COUNTY	30100073	-81739822	Residential	Wood	1
582721	FL	CLAY COUNTY	3009248	-81725167	Residential	Wood	1
842700	FL	CLAY COUNTY	30101356	-81726248	Residential	Wood	1
874333	FL	CLAY COUNTY	30113743	-81727463	Residential	Wood	1
580146	FL	CLAY COUNTY	30121655	-81732391	Residential	Wood	3
456149	FL	CLAY COUNTY	30109537	-81741661	Residential	Wood	1
767862	FL	CLAY COUNTY	3011824	-81745335	Residential	Wood	3
353022	FL	CLAY COUNTY	30065799	-81717416	Residential	Wood	1
367814	FL	CLAY COUNTY	30082993	-81710581	Residential	Wood	1
671392	FL	CLAY COUNTY	30091921	-81711929	Commercial	Reinforced Concrete	3
772887	FL	CLAY COUNTY	30117352	-81711884	Residential	Masonry	1
983122	FL	CLAY COUNTY	30095783	-81713181	Residential	Wood	3
934215	FL	CLAY COUNTY	30110518	-81727478	Residential	Wood	1
385951	FL	CLAY COUNTY	3010288	-81705719	Residential	Wood	1
716332	FL	CLAY COUNTY	30068468	-8171624	Residential	Wood	1
751262	FL	CLAY COUNTY	30068468	-8171624	Residential	Wood	1
633663	FL	CLAY COUNTY	30068468	-8171624	Residential	Wood	1
105851	FL	CLAY COUNTY	30068468	-8171624	Residential	Wood	1
710400	FL	CLAY COUNTY	30068468	-8171624	Residential	Wood	1
703001	FL	CLAY COUNTY	30079785	-81706865	Residential	Wood	4
352792	FL	CLAY COUNTY	3008012	-81718452	Residential	Masonry	1
717603	FL	CLAY COUNTY	3008012	-81718452	Residential	Wood	1
937659	FL	SUWANNEE COUNTY	29959805	-82926659	Residential	Wood	3
294022	FL	SUWANNEE COUNTY	29959805	-82926659	Residential	Wood	3
410500	FL	SUWANNEE COUNTY	29959805	-82926659	Residential	Wood	3
524433	FL	SUWANNEE COUNTY	29962601	-82926155	Residential	Wood	3
779298	FL	SUWANNEE COUNTY	29962601	-82926155	Residential	Masonry	3
491831	FL	SUWANNEE COUNTY	29962601	-82926155	Residential	Wood	3
814637	FL	SUWANNEE COUNTY	29962601	-82926155	Residential	Wood	3
737515	FL	SUWANNEE COUNTY	29962601	-82926155	Residential	Wood	3
222653	FL	SUWANNEE COUNTY	29962601	-82926155	Residential	Wood	3
788543	FL	SUWANNEE COUNTY	29962601	-82926155	Residential	Wood	3
691681	FL	SUWANNEE COUNTY	29960735	-8292542	Residential	Wood	3
368807	FL	SUWANNEE COUNTY	29960735	-8292542	Residential	Wood	3
174002	FL	SUWANNEE COUNTY	29963396	-82916763	Residential	Wood	1
198760	FL	SUWANNEE COUNTY	29963396	-82916763	Residential	Wood	1
831395	FL	SUWANNEE COUNTY	29963396	-82916763	Residential	Wood	1
305698	FL	SUWANNEE COUNTY	29963396	-82916763	Residential	Wood	1
515722	FL	SUWANNEE COUNTY	29963396	-82916763	Residential	Wood	1
415582	FL	SUWANNEE COUNTY	29958415	-8292394	Residential	Wood	3
783533	FL	SUWANNEE COUNTY	299696	-8292767	Residential	Wood	4
640802	FL	SUWANNEE COUNTY	29959404	-82927582	Residential	Wood	1
403866	FL	SUWANNEE COUNTY	29958904	-82922729	Residential	Wood	3
828788	FL	SUWANNEE COUNTY	2995822	-82922424	Residential	Wood	1
751490	FL	SUWANNEE COUNTY	29965832	-82933777	Residential	Wood	4
972562	FL	SUWANNEE COUNTY	29965721	-82933777	Residential	Wood	4
367541	FL	SUWANNEE COUNTY	29965717	-82933777	Residential	Wood	4
481360	FL	SUWANNEE COUNTY	2995775	-82923635	Residential	Wood	3
920232	FL	NASSAU COUNTY	3039431	-8193397	Residential	Wood	1
727659	FL	NASSAU COUNTY	3056267	-81830429	Residential	Wood	1
471817	FL	NASSAU COUNTY	3056267	-81830429	Residential	Wood	1
983043	FL	NASSAU COUNTY	30561651	-81830193	Residential	Wood	1
578286	FL	NASSAU COUNTY	3056267	-81830429	Residential	Wood	1
347276	FL	NASSAU COUNTY	3056106	-8182632	Residential	Wood	3
477786	FL	NASSAU COUNTY	305579	-818249	Commercial	Reinforced Masonry	4
265907	FL	NASSAU COUNTY	3056106	-8182632	Residential	Wood	3
107560	FL	NASSAU COUNTY	3056106	-8182632	Residential	Masonry	3
908183	FL	NASSAU COUNTY	3057185	-8182383	Residential	Wood	3
356024	FL	NASSAU COUNTY	30562835	-81826525	Residential	Wood	3
575299	FL	NASSAU COUNTY	30567566	-81826584	Residential	Wood	1
790478	FL	NASSAU COUNTY	3060895	-8183645	Residential	Wood	3
801776	FL	NASSAU COUNTY	3059925	-8181973	Residential	Wood	1
291781	FL	NASSAU COUNTY	3053674	-8177496	Residential	Masonry	3
537286	FL	NASSAU COUNTY	30555161	-81825684	Residential	Masonry	1
289305	FL	COLUMBIA COUNTY	30105968	-8266227	Residential	Wood	4
697409	FL	COLUMBIA COUNTY	301018	-827094	Residential	Wood	1
633944	FL	COLUMBIA COUNTY	301018	-827094	Residential	Wood	4
963511	FL	COLUMBIA COUNTY	301018	-827094	Residential	Wood	4
729649	FL	COLUMBIA COUNTY	301653	-8273404	Residential	Masonry	1
862584	FL	COLUMBIA COUNTY	301018	-827094	Residential	Wood	4
371891	FL	COLUMBIA COUNTY	3017399	-8257017	Residential	Wood	4
785595	FL	COLUMBIA COUNTY	301515	-826126	Residential	Wood	3
567696	FL	COLUMBIA COUNTY	3016269	-8264	Residential	Wood	4
